cluster,sub_cluster,hard_skills,soft_skills,description,riasec_sources,simulation_example
ENERGY & NATURAL RESOURCES,Conservation & Land Management,Land management practices; GIS mapping; conservation techniques; resource monitoring,Environmental stewardship; observation,"Protects and manages forests, parks, wildlife, and natural lands by balancing environmental conservation with public and economic use.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
ENERGY & NATURAL RESOURCES,Ecological Research & Development,Scientific research methods; data collection; environmental analysis,Analytical thinking; curiosity,Studies ecosystems and natural processes to understand environmental change and support science-based sustainability solutions.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
ENERGY & NATURAL RESOURCES,Environmental Protection,Environmental policy; compliance methods; impact assessment; monitoring,Ethical judgment; responsibility,"Regulates and manages pollution, hazards, and environmental risks to protect air, water, land, and public health.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
ENERGY & NATURAL RESOURCES,Resource Extraction,Mining technology; geoscience basics; extraction methods; safety procedures,Safety awareness; precision,"Extracts and processes natural resources such as minerals and fuels used in energy, construction, and manufacturing industries.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
ENERGY & NATURAL RESOURCES,Utilities,Utility systems; infrastructure maintenance; operations management,Reliability; problem solving,"Operates and maintains systems that deliver electricity, water, waste, and communication services to communities.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
FINANCIAL SERVICES,Accounting,Accounting principles; financial records; reporting; compliance basics,Attention to detail; integrity,"Records, analyzes, and reports financial information to ensure organizations and individuals manage money accurately and legally.",Conventional:1; Enterprising:1; Investigative:1; Realistic:0.8; Social:0.8,"Financial Analyst - The Budget Challenge: The participant receives a fictional departmental budget and a list of unexpected expenses and priorities. They must decide how to allocate the remaining funds, requiring them to use data analysis, prioritization, and negotiation skills. 

 Financial Analyst - Financial statement analysis: Give participants simplified income statements, balance sheets, and cash flow statements for a fictional company. Instruct them to analyze the data to determine the company's profitability, liquidity, and overall financial health. To add a challenge, have them justify an investment recommendation or a stock price prediction based on their findings.

 Wealth Management - Ethical dilemma role-play: Set up a role-play where a participant acts as an advisor meeting a client with an unreasonable request. For example, the client insists on a high-risk, speculative investment that is against their best interest. This assesses the participant's communication skills, ethical standards, and ability to handle difficult conversations while preserving the client relationship.

 Sales and Trading - Rapid-fire trading scenario: Conduct a rapid-fire quiz where participants must make split-second ""buy,"" ""sell,"" or ""hold"" decisions based on simplified, hypothetical news headlines. For instance: ""New tariffs announced"" or ""Company A reports strong earnings."" This simulates the fast-paced nature of market-moving events and assesses a participant's ability to react quickly under pressure.

 Investment Banking - Merger and acquisition (M&A) case study: Provide a short case study where two fictional companies are considering a merger. Give participants a summary of each company's financial health, strategy, and market position. Their task is to write a brief recommendation on whether or not the merger should proceed and at what terms. This tests their critical thinking and valuation skills"
FINANCIAL SERVICES,Banking & Credit,Credit analysis; financial products; risk evaluation; customer finance,Trustworthiness; communication,"Manages savings, loans, and credit services that support personal finance, business growth, and economic activity.",Conventional:1; Enterprising:1; Investigative:1; Realistic:0.8; Social:0.8,"Financial Analyst - The Budget Challenge: The participant receives a fictional departmental budget and a list of unexpected expenses and priorities. They must decide how to allocate the remaining funds, requiring them to use data analysis, prioritization, and negotiation skills. 

 Financial Analyst - Financial statement analysis: Give participants simplified income statements, balance sheets, and cash flow statements for a fictional company. Instruct them to analyze the data to determine the company's profitability, liquidity, and overall financial health. To add a challenge, have them justify an investment recommendation or a stock price prediction based on their findings.

 Wealth Management - Ethical dilemma role-play: Set up a role-play where a participant acts as an advisor meeting a client with an unreasonable request. For example, the client insists on a high-risk, speculative investment that is against their best interest. This assesses the participant's communication skills, ethical standards, and ability to handle difficult conversations while preserving the client relationship.

 Sales and Trading - Rapid-fire trading scenario: Conduct a rapid-fire quiz where participants must make split-second ""buy,"" ""sell,"" or ""hold"" decisions based on simplified, hypothetical news headlines. For instance: ""New tariffs announced"" or ""Company A reports strong earnings."" This simulates the fast-paced nature of market-moving events and assesses a participant's ability to react quickly under pressure.

 Investment Banking - Merger and acquisition (M&A) case study: Provide a short case study where two fictional companies are considering a merger. Give participants a summary of each company's financial health, strategy, and market position. Their task is to write a brief recommendation on whether or not the merger should proceed and at what terms. This tests their critical thinking and valuation skills"
FINANCIAL SERVICES,Financial Strategy & Investments,Investment analysis; financial modeling; asset management; valuation,Strategic thinking; judgment,"Plans and manages investments and financial strategies to grow assets, manage risk, and support long-term goals.",Conventional:1; Enterprising:1; Investigative:1; Realistic:0.8; Social:0.8,"Financial Analyst - The Budget Challenge: The participant receives a fictional departmental budget and a list of unexpected expenses and priorities. They must decide how to allocate the remaining funds, requiring them to use data analysis, prioritization, and negotiation skills. 

 Financial Analyst - Financial statement analysis: Give participants simplified income statements, balance sheets, and cash flow statements for a fictional company. Instruct them to analyze the data to determine the company's profitability, liquidity, and overall financial health. To add a challenge, have them justify an investment recommendation or a stock price prediction based on their findings.

 Wealth Management - Ethical dilemma role-play: Set up a role-play where a participant acts as an advisor meeting a client with an unreasonable request. For example, the client insists on a high-risk, speculative investment that is against their best interest. This assesses the participant's communication skills, ethical standards, and ability to handle difficult conversations while preserving the client relationship.

 Sales and Trading - Rapid-fire trading scenario: Conduct a rapid-fire quiz where participants must make split-second ""buy,"" ""sell,"" or ""hold"" decisions based on simplified, hypothetical news headlines. For instance: ""New tariffs announced"" or ""Company A reports strong earnings."" This simulates the fast-paced nature of market-moving events and assesses a participant's ability to react quickly under pressure.

 Investment Banking - Merger and acquisition (M&A) case study: Provide a short case study where two fictional companies are considering a merger. Give participants a summary of each company's financial health, strategy, and market position. Their task is to write a brief recommendation on whether or not the merger should proceed and at what terms. This tests their critical thinking and valuation skills"
FINANCIAL SERVICES,Insurance,Risk analysis; policy management; claims processes; applied statistics,Responsibility; decision-making,Evaluates risk and provides financial protection against loss through insurance policies and claims management.,Conventional:1; Enterprising:1; Investigative:1; Realistic:0.8; Social:0.8,"Financial Analyst - The Budget Challenge: The participant receives a fictional departmental budget and a list of unexpected expenses and priorities. They must decide how to allocate the remaining funds, requiring them to use data analysis, prioritization, and negotiation skills. 

 Financial Analyst - Financial statement analysis: Give participants simplified income statements, balance sheets, and cash flow statements for a fictional company. Instruct them to analyze the data to determine the company's profitability, liquidity, and overall financial health. To add a challenge, have them justify an investment recommendation or a stock price prediction based on their findings.

 Wealth Management - Ethical dilemma role-play: Set up a role-play where a participant acts as an advisor meeting a client with an unreasonable request. For example, the client insists on a high-risk, speculative investment that is against their best interest. This assesses the participant's communication skills, ethical standards, and ability to handle difficult conversations while preserving the client relationship.

 Sales and Trading - Rapid-fire trading scenario: Conduct a rapid-fire quiz where participants must make split-second ""buy,"" ""sell,"" or ""hold"" decisions based on simplified, hypothetical news headlines. For instance: ""New tariffs announced"" or ""Company A reports strong earnings."" This simulates the fast-paced nature of market-moving events and assesses a participant's ability to react quickly under pressure.

 Investment Banking - Merger and acquisition (M&A) case study: Provide a short case study where two fictional companies are considering a merger. Give participants a summary of each company's financial health, strategy, and market position. Their task is to write a brief recommendation on whether or not the merger should proceed and at what terms. This tests their critical thinking and valuation skills"
FINANCIAL SERVICES,Real Estate,Property law basics; market analysis; property management; transactions,Negotiation; communication,"Facilitates the buying, selling, leasing, and management of residential and commercial property.",Conventional:1; Enterprising:1; Investigative:1; Realistic:0.8; Social:0.8,"Financial Analyst - The Budget Challenge: The participant receives a fictional departmental budget and a list of unexpected expenses and priorities. They must decide how to allocate the remaining funds, requiring them to use data analysis, prioritization, and negotiation skills. 

 Financial Analyst - Financial statement analysis: Give participants simplified income statements, balance sheets, and cash flow statements for a fictional company. Instruct them to analyze the data to determine the company's profitability, liquidity, and overall financial health. To add a challenge, have them justify an investment recommendation or a stock price prediction based on their findings.

 Wealth Management - Ethical dilemma role-play: Set up a role-play where a participant acts as an advisor meeting a client with an unreasonable request. For example, the client insists on a high-risk, speculative investment that is against their best interest. This assesses the participant's communication skills, ethical standards, and ability to handle difficult conversations while preserving the client relationship.

 Sales and Trading - Rapid-fire trading scenario: Conduct a rapid-fire quiz where participants must make split-second ""buy,"" ""sell,"" or ""hold"" decisions based on simplified, hypothetical news headlines. For instance: ""New tariffs announced"" or ""Company A reports strong earnings."" This simulates the fast-paced nature of market-moving events and assesses a participant's ability to react quickly under pressure.

 Investment Banking - Merger and acquisition (M&A) case study: Provide a short case study where two fictional companies are considering a merger. Give participants a summary of each company's financial health, strategy, and market position. Their task is to write a brief recommendation on whether or not the merger should proceed and at what terms. This tests their critical thinking and valuation skills"
HEALTHCARE & HUMAN SERVICES,Behavioral & Mental Health,Psychology fundamentals; counseling techniques; care planning; behavioral assessment; mental health documentation,Empathy; active listening; emotional awareness; ethical judgment,"Supports mental and emotional well-being by providing counseling, therapy, and treatment services that help individuals manage stress, trauma, and mental health conditions.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
HEALTHCARE & HUMAN SERVICES,Biotechnology Research & Development,Laboratory techniques; biomedical science; data analysis; experimental design; research documentation,Precision; persistence; critical thinking,"Develops medical treatments, diagnostics, and technologies through laboratory research and scientific testing in healthcare and life sciences.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
HEALTHCARE & HUMAN SERVICES,Community & Social Services,Case management; program coordination; community outreach; resource navigation,Compassion; communication; problem solving,"Addresses social needs such as housing, food access, family support, and public assistance by connecting individuals and communities with essential services.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
HEALTHCARE & HUMAN SERVICES,Health Data & Administration,Health informatics; medical records systems; data management; compliance standards,Organization; confidentiality; attention to detail,"Manages health records, data systems, and administrative processes that support patient care and healthcare operations.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
HEALTHCARE & HUMAN SERVICES,Personal Care Services,Personal care techniques; hygiene standards; wellness practices; safety procedures,Professionalism; customer care; reliability,"Provides wellness, personal care, and appearance-related services that support health, confidence, and daily living.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
HEALTHCARE & HUMAN SERVICES,Physical Health,Clinical procedures; diagnostics; therapeutic techniques; medical equipment use,Responsibility; focus; patient communication,"Delivers direct medical and therapeutic care through diagnosis, treatment, rehabilitation, and ongoing patient support.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Simulation: An interactive computer-based scenario places the participant in the role of a healthcare provider. A virtual patient presents with symptoms and asks questions. The user must respond by choosing from a list of dialogue options to engage the patient, explain a procedure, or gather information for a medical history.

 Simulation: A scenario with a virtual client struggling with a personal issue, such as addiction or housing insecurity. The user must employ motivational interviewing techniques by selecting from a list of responses to help the client identify their own reasons for change. The simulation provides feedback on whether the chosen response is helpful or confrontational

 Educational Advocacy Meeting: A scenario could involve a meeting with the parents of a child with special needs. The individual must use active listening and communication skills to understand the family's concerns, explain educational options, and facilitate a cooperative decision-making process. Success is measured by how well the participant builds trust and achieves a collaborative outcome.

 Conflict Resolution at a Community Center: The user plays a program manager who needs to resolve a conflict between two volunteers at a community center. Through a dialogue-based interface, the participant must listen to both sides, identify underlying issues, and propose a fair and equitable solution. The simulation evaluates negotiation skills and a commitment to impartiality."
"HOSPITALITY, EVENTS & TOURISM",Accommodations,Hospitality systems; front-desk operations; facilities management; service coordination,Customer service; organization; adaptability,"Operates lodging services such as hotels and resorts by managing guest services, facilities, and daily operations to ensure safe and positive stays.",Conventional:1; Enterprising:1; Realistic:1; Social:1,"Event planning scenario: Pose a scenario: ""You have been hired to organize a small, pop-up arts festival in your local park. What three events would you book, and how would you market the event with a budget of $10000;"" The participant presents their event concept, showing their ability to plan, budget, and creatively promote an idea."
"HOSPITALITY, EVENTS & TOURISM",Conferences & Events,Event planning; budgeting; logistics coordination; risk management,Organization; teamwork; problem solving,"Plans and manages events by coordinating venues, logistics, vendors, schedules, and guest experiences.",Conventional:1; Enterprising:1; Realistic:1; Social:1,"Event planning scenario: Pose a scenario: ""You have been hired to organize a small, pop-up arts festival in your local park. What three events would you book, and how would you market the event with a budget of $10000;"" The participant presents their event concept, showing their ability to plan, budget, and creatively promote an idea."
"HOSPITALITY, EVENTS & TOURISM",Culinary & Food Services,Food preparation; culinary techniques; sanitation standards; kitchen operations,Time management; consistency; teamwork,"Prepares and serves food while managing kitchen operations, safety standards, and dining experiences.",Conventional:1; Enterprising:1; Realistic:1; Social:1,"Event planning scenario: Pose a scenario: ""You have been hired to organize a small, pop-up arts festival in your local park. What three events would you book, and how would you market the event with a budget of $10000;"" The participant presents their event concept, showing their ability to plan, budget, and creatively promote an idea."
"HOSPITALITY, EVENTS & TOURISM",Travel & Leisure,Travel planning; tourism operations; destination knowledge; scheduling,Cultural awareness; communication; adaptability,"Supports travel, tourism, and recreational experiences by planning trips, managing attractions, and coordinating leisure services.",Conventional:1; Enterprising:1; Realistic:1; Social:1,"Event planning scenario: Pose a scenario: ""You have been hired to organize a small, pop-up arts festival in your local park. What three events would you book, and how would you market the event with a budget of $10000;"" The participant presents their event concept, showing their ability to plan, budget, and creatively promote an idea."
PUBLIC SERVICE & SAFETY,Emergency Response,Emergency procedures; crisis response; safety protocols; incident coordination,Calm decision-making; teamwork; resilience,"Responds to fires, medical emergencies, disasters, and crises to protect lives, property, and public safety.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1; Artistic:0.8,"Dispatcher simulation: This simulation assesses multi-tasking skills under pressure, a key competency for 911 dispatchers. The user is required to listen to incoming emergency calls, prioritize the urgency of each situation, and dispatch the correct emergency services in real time.

 Incident command scenario: An individual is placed in the virtual role of an incident commander at a multi-vehicle collision or a fire. The simulation requires them to assess the situation, allocate resources, and make decisions in a chaotic and dynamic environment, testing their leadership and problem-solving abilities

 Constituent engagement exercise: The participant role-plays as a public affairs or policy specialist who must address public concerns. The simulation involves reading public feedback (social media posts, emails) on a new community policy and responding to different stakeholder groups. This tests their ability to communicate complex information clearly and manage public perception"
PUBLIC SERVICE & SAFETY,Judicial Systems,Legal research; court procedures; documentation; case management,Integrity; attention to detail; professionalism,"Supports legal processes by assisting courts, legal professionals, and justice systems in applying laws fairly and accurately.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1; Artistic:0.8,"Dispatcher simulation: This simulation assesses multi-tasking skills under pressure, a key competency for 911 dispatchers. The user is required to listen to incoming emergency calls, prioritize the urgency of each situation, and dispatch the correct emergency services in real time.

 Incident command scenario: An individual is placed in the virtual role of an incident commander at a multi-vehicle collision or a fire. The simulation requires them to assess the situation, allocate resources, and make decisions in a chaotic and dynamic environment, testing their leadership and problem-solving abilities

 Constituent engagement exercise: The participant role-plays as a public affairs or policy specialist who must address public concerns. The simulation involves reading public feedback (social media posts, emails) on a new community policy and responding to different stakeholder groups. This tests their ability to communicate complex information clearly and manage public perception"
PUBLIC SERVICE & SAFETY,"Local, State & Federal Services",Public administration; policy analysis; program management; budgeting basics,Civic responsibility; communication; organization,"Delivers public programs and services by managing government operations, policy implementation, and community resources.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1; Artistic:0.8,"Dispatcher simulation: This simulation assesses multi-tasking skills under pressure, a key competency for 911 dispatchers. The user is required to listen to incoming emergency calls, prioritize the urgency of each situation, and dispatch the correct emergency services in real time.

 Incident command scenario: An individual is placed in the virtual role of an incident commander at a multi-vehicle collision or a fire. The simulation requires them to assess the situation, allocate resources, and make decisions in a chaotic and dynamic environment, testing their leadership and problem-solving abilities

 Constituent engagement exercise: The participant role-plays as a public affairs or policy specialist who must address public concerns. The simulation involves reading public feedback (social media posts, emails) on a new community policy and responding to different stakeholder groups. This tests their ability to communicate complex information clearly and manage public perception"
PUBLIC SERVICE & SAFETY,Military & National Security,Security systems; operational planning; technical systems; risk assessment,Discipline; teamwork; leadership,"Protects national interests through defense operations, intelligence, logistics, and strategic planning.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1; Artistic:0.8,"Dispatcher simulation: This simulation assesses multi-tasking skills under pressure, a key competency for 911 dispatchers. The user is required to listen to incoming emergency calls, prioritize the urgency of each situation, and dispatch the correct emergency services in real time.

 Incident command scenario: An individual is placed in the virtual role of an incident commander at a multi-vehicle collision or a fire. The simulation requires them to assess the situation, allocate resources, and make decisions in a chaotic and dynamic environment, testing their leadership and problem-solving abilities

 Constituent engagement exercise: The participant role-plays as a public affairs or policy specialist who must address public concerns. The simulation involves reading public feedback (social media posts, emails) on a new community policy and responding to different stakeholder groups. This tests their ability to communicate complex information clearly and manage public perception"
PUBLIC SERVICE & SAFETY,Public Safety,Criminal justice fundamentals; investigation methods; safety procedures,Judgment; responsibility; ethical decision-making,"Maintains public order and safety through law enforcement, corrections, and protective services.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1; Artistic:0.8,"Dispatcher simulation: This simulation assesses multi-tasking skills under pressure, a key competency for 911 dispatchers. The user is required to listen to incoming emergency calls, prioritize the urgency of each situation, and dispatch the correct emergency services in real time.

 Incident command scenario: An individual is placed in the virtual role of an incident commander at a multi-vehicle collision or a fire. The simulation requires them to assess the situation, allocate resources, and make decisions in a chaotic and dynamic environment, testing their leadership and problem-solving abilities

 Constituent engagement exercise: The participant role-plays as a public affairs or policy specialist who must address public concerns. The simulation involves reading public feedback (social media posts, emails) on a new community policy and responding to different stakeholder groups. This tests their ability to communicate complex information clearly and manage public perception"
SUPPLY CHAIN & TRANSPORTATION,Air & Space Transportation,Aviation technology; avionics; flight systems; safety procedures,Precision; safety awareness,"Supports air and space travel by managing aircraft systems, flight operations, maintenance, and aerospace technologies.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
SUPPLY CHAIN & TRANSPORTATION,Ground & Rail Transportation,Transportation systems; vehicle operation; logistics coordination; safety regulations,Reliability; focus,"Moves people and goods by road and rail through vehicle operation, transit systems, and transportation management.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
SUPPLY CHAIN & TRANSPORTATION,Maintenance & Repair,Mechanical repair; diagnostics; equipment maintenance; technical troubleshooting,Attention to detail; persistence,Repairs and maintains vehicles and transportation equipment to ensure safe and reliable operation.,Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
